SerialNumber,PartNumber,ReceiverLine,ReceiverStation,AcquisitionDuration,SegmentCount,CSACLolCount,MinutesTillFirstCSACLol,StartPhaseMeasurementNS,AcqStartTimeDTUTC,FirstCSACLolDTUTC,LastCSACLolDTUTC,AcqEndTimeDTUTC,EndPhaseMeasurementNS,CSACAlarmCount,NumberOfLogRecords,AvgHeaterPower,MaxHeaterPower,BatteryChargeLevelInitial,BatteryChargeLevelFinal,BatteryDischargeRatePerHour,InitialHumidity,FinalHumidity,HumidityChange
15089,280720003,1721,5002,d27 h13 m37 s22,1,0,0,1366142404000000000,4/21/2023 19:59:46,1/1/0001 0:00:00,1/1/0001 0:00:00,5/19/2023 9:37:08,1368524246000000000,0,3972,12.84264,13.1,100,18.66667,0.1229301,31.11832,34.72837,3.610054
7080,280720001,1721,5010,d27 h13 m37 s15,1,0,0,1366142404000000000,4/21/2023 19:59:46,1/1/0001 0:00:00,1/1/0001 0:00:00,5/19/2023 9:37:01,1368524239000000000,0,3972,9.819202,10.02,100,18.66667,0.1229304,25.38396,27.90459,2.520634
3368,280720001,1721,5018,d27 h13 m37 s11,1,0,0,1366142404000000000,4/21/2023 19:59:46,1/1/0001 0:00:00,1/1/0001 0:00:00,5/19/2023 9:36:57,1368524235000000000,0,3972,10.87214,11.08,100,13.33333,0.1309917,27.26701,30.18116,2.914148
7632,280720001,1721,5026,d27 h13 m37 s47,1,0,0,1366142404000000000,4/21/2023 19:59:46,1/1/0001 0:00:00,1/1/0001 0:00:00,5/19/2023 9:37:33,1368524271000000000,0,3972,11.30952,11.53,100,22.33333,0.1173869,20.10194,22.51925,2.417313
528,280720001,1721,5034,d27 h13 m37 s41,1,0,0,1366142403000000000,4/21/2023 19:59:45,1/1/0001 0:00:00,1/1/0001 0:00:00,5/19/2023 9:37:26,1368524264000000000,0,3972,11.74927,12,100,6.666667,0.1410662,24.71676,27.41111,2.694345
3853,280720001,1721,5042,d27 h13 m37 s36,1,0,0,1366142403000000000,4/21/2023 19:59:45,1/1/0001 0:00:00,1/1/0001 0:00:00,5/19/2023 9:37:21,1368524259000000000,0,3972,10.68735,10.91,100,15.66667,0.1274636,20.2371,22.45309,2.215994
216,280720001,1721,5050,d27 h13 m38 s13,1,0,0,1366142403000000000,4/21/2023 19:59:45,1/1/0001 0:00:00,1/1/0001 0:00:00,5/19/2023 9:37:58,1368524296000000000,0,3972,10.47738,10.74,100,22.66667,0.1168818,21.53921,23.84679,2.307577
7069,280720001,1721,5058,d27 h13 m42 s52,1,0,0,1366142404000000000,4/21/2023 19:59:46,1/1/0001 0:00:00,1/1/0001 0:00:00,5/19/2023 9:42:38,1368524576000000000,0,3972,10.09539,10.29,100,20.66667,0.1198906,24.93802,27.32064,2.382618
3917,280720001,1721,5066,d27 h13 m38 s30,1,0,0,1366142404000000000,4/21/2023 19:59:46,1/1/0001 0:00:00,1/1/0001 0:00:00,5/19/2023 9:38:16,1368524314000000000,0,3972,17.68676,18.02,100,15.33333,0.1279645,20.14533,22.14751,2.002178
3242,280720001,1721,5074,d27 h13 m38 s26,1,0,0,1366142403000000000,4/21/2023 19:59:45,1/1/0001 0:00:00,1/1/0001 0:00:00,5/19/2023 9:38:11,1368524309000000000,0,3972,12.95931,13.2,100,15,0.1284685,27.27911,29.93827,2.659164
