SerialNumber,PartNumber,ReceiverLine,ReceiverStation,AcquisitionDuration,SegmentCount,CSACLolCount,MinutesTillFirstCSACLol,StartPhaseMeasurementNS,AcqStartTimeDTUTC,FirstCSACLolDTUTC,LastCSACLolDTUTC,AcqEndTimeDTUTC,EndPhaseMeasurementNS,CSACAlarmCount,NumberOfLogRecords,AvgHeaterPower,MaxHeaterPower,BatteryChargeLevelInitial,BatteryChargeLevelFinal,BatteryDischargeRatePerHour,InitialHumidity,FinalHumidity,HumidityChange
7607,280720001,1613,5002,d25 h19 m53 s14,1,0,0,1365853903000000000,4/18/2023 11:51:25,1/1/0001 0:00:00,1/1/0001 0:00:00,5/14/2023 7:44:39,1368085497000000000,3719,3720,10.57248,10.81,100,34,0.106471,17.33705,19.03159,1.694546
1874,280720001,1613,5010,d25 h19 m48 s07,1,0,0,1365853903000000000,4/18/2023 11:51:25,1/1/0001 0:00:00,1/1/0001 0:00:00,5/14/2023 7:39:32,1368085190000000000,0,3720,12.28998,12.56,99.33334,35,0.1037966,32.67609,36.15808,3.481987
8350,280720001,1613,5018,d25 h19 m48 s12,1,0,0,1365853903000000000,4/18/2023 11:51:25,1/1/0001 0:00:00,1/1/0001 0:00:00,5/14/2023 7:39:37,1368085195000000000,0,3720,11.89856,12.14,100,19.33333,0.1301488,27.76215,30.34405,2.581905
4037,280720001,1613,5026,d25 h19 m48 s16,2,0,0,1365853903000000000,4/18/2023 11:51:25,1/1/0001 0:00:00,1/1/0001 0:00:00,5/14/2023 7:39:41,1368085199000000000,3719,3720,11.90967,12.14,98.33334,20.66667,0.1253083,22.31268,24.33687,2.024183
6979,280720001,1613,5034,d25 h19 m07 s41,1,0,0,1365856357000000000,4/18/2023 12:32:19,1/1/0001 0:00:00,1/1/0001 0:00:00,5/14/2023 7:40:00,1368085218000000000,3715,3716,12.20249,12.44,99.66666,25.66667,0.1195229,20.57755,22.40921,1.831663
6822,280720001,1613,5042,d25 h19 m48 s30,1,0,0,1365853903000000000,4/18/2023 11:51:25,1/1/0001 0:00:00,1/1/0001 0:00:00,5/14/2023 7:39:55,1368085213000000000,0,3720,11.61716,11.85,97.66666,31,0.1075601,24.48254,25.07326,0.5907211
2159,280720001,1613,5050,d25 h19 m48 s47,1,0,0,1365853903000000000,4/18/2023 11:51:25,1/1/0001 0:00:00,1/1/0001 0:00:00,5/14/2023 7:40:12,1368085230000000000,0,3720,9.812433,10.08,100,27.33333,0.1172396,25.22899,28.02281,2.793823
810,280720001,1613,5058,d25 h19 m49 s08,1,0,0,1365853903000000000,4/18/2023 11:51:25,1/1/0001 0:00:00,1/1/0001 0:00:00,5/14/2023 7:40:33,1368085251000000000,0,3720,9.655659,9.97,100,20,0.12907,22.93165,24.57972,1.648067
2729,280720001,1613,5066,d25 h19 m49 s02,1,0,0,1365853903000000000,4/18/2023 11:51:25,1/1/0001 0:00:00,1/1/0001 0:00:00,5/14/2023 7:40:27,1368085245000000000,0,3720,10.07885,10.32,100,18.33333,0.1317593,20.81969,22.64301,1.823318
15112,280720003,1613,5074,d25 h19 m49 s39,1,0,0,1365853903000000000,4/18/2023 11:51:25,1/1/0001 0:00:00,1/1/0001 0:00:00,5/14/2023 7:41:04,1368085282000000000,3719,3720,11.02498,11.28,100,18.33333,0.1317571,19.90915,22.10983,2.200678
6597,280720001,1613,5082,d25 h19 m49 s34,1,0,0,1365853903000000000,4/18/2023 11:51:25,1/1/0001 0:00:00,1/1/0001 0:00:00,5/14/2023 7:40:59,1368085277000000000,0,3720,9.609022,9.82,100,22.66667,0.1247662,17.75132,19.31573,1.564409
860,280720001,1613,5090,d25 h19 m49 s31,1,0,0,1365853903000000000,4/18/2023 11:51:25,1/1/0001 0:00:00,1/1/0001 0:00:00,5/14/2023 7:40:56,1368085274000000000,3719,3720,11.77729,12.02,100,44,0.09034804,22.46333,24.98878,2.525452
15810,280720003,1613,5098,d25 h19 m50 s13,2,0,0,1365853903000000000,4/18/2023 11:51:25,1/1/0001 0:00:00,1/1/0001 0:00:00,5/14/2023 7:41:38,1368085316000000000,3718,3724,10.81152,11.02,100,46,0.08711969,16.59223,18.85847,2.266232
