SerialNumber,PartNumber,ReceiverLine,ReceiverStation,AcquisitionDuration,SegmentCount,CSACLolCount,MinutesTillFirstCSACLol,StartPhaseMeasurementNS,AcqStartTimeDTUTC,FirstCSACLolDTUTC,LastCSACLolDTUTC,AcqEndTimeDTUTC,EndPhaseMeasurementNS,CSACAlarmCount,NumberOfLogRecords,AvgHeaterPower,MaxHeaterPower,BatteryChargeLevelInitial,BatteryChargeLevelFinal,BatteryDischargeRatePerHour,InitialHumidity,FinalHumidity,HumidityChange
8181,280720001,1649,5322,d27 h05 m57 s19,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:56:07,1368327385000000000,0,3924,10.39198,10.6,100,25.33333,0.114177,20.41339,23.58297,3.169577
1365,280720001,1649,5330,d27 h05 m57 s29,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:56:17,1368327395000000000,0,3924,11.29203,11.53,100,17.33333,0.1264097,22.31429,25.06375,2.74946
15407,280720003,1649,5338,d27 h05 m58 s11,1,0,0,1365973189000000000,4/19/2023 20:59:31,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:57:42,1368327480000000000,0,3924,10.7622,10.94,100,29.66667,0.1075483,33.42547,38.48695,5.061474
778,280720001,1649,5346,d27 h05 m57 s53,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:56:41,1368327419000000000,0,3924,13.94147,14.18,100,26.33333,0.1126462,30.79718,34.83894,4.041756
15426,280720003,1649,5354,d27 h05 m58 s00,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:56:48,1368327426000000000,0,3924,10.15511,10.39,100,24,0.1162139,25.48426,28.88251,3.398247
294,280720001,1649,5362,d27 h05 m58 s12,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:57:00,1368327438000000000,0,3924,10.7923,11.05,99,18.33333,0.1233492,17.77961,19.21114,1.43153
8354,280720001,1649,5370,d27 h05 m58 s27,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:57:15,1368327453000000000,0,3924,10.67757,10.88,100,17,0.1269163,18.12751,20.24808,2.120567
8114,280720001,1649,5378,d27 h05 m58 s19,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:57:07,1368327445000000000,0,3924,11.15455,11.36,100,21.66667,0.1197809,25.27301,27.57335,2.300341
8049,280720001,1649,5386,d27 h05 m41 s02,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:39:50,1368326408000000000,0,3924,12.50626,12.76,100,30.33333,0.1065755,25.57005,27.10601,1.535967
3067,280720001,1649,5394,d27 h05 m50 s36,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:49:24,1368326982000000000,0,3924,12.03465,12.27,100,14.66667,0.1305104,25.9488,27.43994,1.491135
15231,280720003,1649,5402,d27 h05 m55 s00,1,0,0,1365973147000000000,4/19/2023 20:58:49,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:53:49,1368327247000000000,0,3924,11.07332,11.3,100,32.66667,0.1029693,31.44992,41.11921,9.669289
8186,280720001,1649,5410,d27 h05 m40 s47,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:39:35,1368326393000000000,0,3924,12.62415,12.86,100,18.66667,0.1244238,17.91253,22.66714,4.75461
4072,280720001,1649,5418,d27 h05 m40 s37,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:39:25,1368326383000000000,0,3924,13.70731,13.97,100,18,0.1254442,29.54307,32.92133,3.378267
3947,280720001,1649,5426,d27 h05 m40 s28,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:39:16,1368326374000000000,0,3924,12.59896,12.85,100,14,0.131564,25.03408,28.11639,3.082308
1105,280720001,1649,5434,d27 h05 m41 s52,1,0,0,1365973147000000000,4/19/2023 20:58:49,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:40:41,1368326459000000000,0,3924,10.46344,10.68,100,19,0.1239105,28.67921,32.06052,3.381302
3137,280720001,1649,5442,d27 h05 m40 s12,1,0,0,1365973147000000000,4/19/2023 20:58:49,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:39:01,1368326359000000000,0,3924,15.86675,16.19,100,5.333333,0.1448233,26.15184,29.04281,2.890978
6934,280720001,1649,5450,d27 h05 m40 s01,1,0,0,1365973147000000000,4/19/2023 20:58:49,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:38:50,1368326348000000000,0,3924,8.595208,8.79,100,22.66667,0.1183069,27.5224,30.68237,3.159975
2910,280720001,1649,5458,d27 h05 m39 s55,1,0,0,1365973147000000000,4/19/2023 20:58:49,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:38:44,1368326342000000000,0,3924,13.95082,14.18,97.33334,12,0.1305459,28.82332,32.57124,3.747917
7478,280720001,1649,5466,d27 h05 m46 s36,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:45:24,1368326742000000000,0,3924,11.12472,11.36,100,21.66667,0.1198167,17.71284,19.5074,1.794569
2201,280720001,1649,5474,d27 h05 m39 s40,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:38:28,1368326326000000000,0,3924,10.62553,10.81,100,16.66667,0.1274871,21.83468,24.28578,2.451094
2697,280720001,1649,5482,d27 h05 m43 s45,1,0,0,1365973147000000000,4/19/2023 20:58:49,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:42:34,1368326572000000000,0,3924,17.44219,17.77,93,7.666667,0.1305332,28.14183,30.41891,2.277084
