SerialNumber,PartNumber,ReceiverLine,ReceiverStation,AcquisitionDuration,SegmentCount,CSACLolCount,MinutesTillFirstCSACLol,StartPhaseMeasurementNS,AcqStartTimeDTUTC,FirstCSACLolDTUTC,LastCSACLolDTUTC,AcqEndTimeDTUTC,EndPhaseMeasurementNS,CSACAlarmCount,NumberOfLogRecords,AvgHeaterPower,MaxHeaterPower,BatteryChargeLevelInitial,BatteryChargeLevelFinal,BatteryDischargeRatePerHour,InitialHumidity,FinalHumidity,HumidityChange
3209,280720001,1685,5002,d27 h11 m52 s10,1,0,0,1366060715000000000,4/20/2023 21:18:17,1/1/0001 0:00:00,1/1/0001 0:00:00,5/18/2023 9:10:27,1368436245000000000,0,3960,10.86106,11.11,100,17.66667,0.1247722,29.4016,31.07167,1.670076
1429,280720001,1685,5010,d27 h11 m52 s29,1,0,0,1366060715000000000,4/20/2023 21:18:17,1/1/0001 0:00:00,1/1/0001 0:00:00,5/18/2023 9:10:46,1368436264000000000,3960,3960,14.55017,14.85,100,10.33333,0.1358844,12.47589,13.43045,0.9545574
7074,280720001,1685,5018,d27 h12 m30 s29,1,0,0,1366058747000000000,4/20/2023 20:45:29,1/1/0001 0:00:00,1/1/0001 0:00:00,5/18/2023 9:15:58,1368436576000000000,0,3964,10.8897,11.11,100,20.33333,0.1206142,24.98,28.31315,3.333157
1220,280720001,1685,5026,d27 h11 m52 s58,1,0,0,1366060715000000000,4/20/2023 21:18:17,1/1/0001 0:00:00,1/1/0001 0:00:00,5/18/2023 9:11:15,1368436293000000000,3960,3960,14.68046,14.97,100,6.666667,0.1414393,19.99443,22.10999,2.115553
3349,280720001,1685,5034,d27 h11 m53 s25,1,0,0,1366060715000000000,4/20/2023 21:18:17,1/1/0001 0:00:00,1/1/0001 0:00:00,5/18/2023 9:11:42,1368436320000000000,3960,3960,15.36081,15.62,100,16.33333,0.1267888,20.85487,22.69621,1.841335
7689,280720001,1685,5042,d27 h12 m26 s04,1,0,0,1366058747000000000,4/20/2023 20:45:29,1/1/0001 0:00:00,1/1/0001 0:00:00,5/18/2023 9:11:33,1368436311000000000,0,3964,11.24273,11.46,100,19.66667,0.1216371,20.81971,25.08573,4.26602
15106,280720004,1685,5050,d27 h12 m38 s30,1,0,0,1366058747000000000,4/20/2023 20:45:29,1/1/0001 0:00:00,1/1/0001 0:00:00,5/18/2023 9:23:59,1368437057000000000,3963,3964,9.74136,9.93,100,21.33333,0.1190761,18.06183,20.12098,2.059149
2306,280720001,1685,5058,d27 h12 m26 s28,2,1,-20956.35,1366058747000000000,4/20/2023 20:45:29,4/6/2023 7:29:08,4/6/2023 7:29:08,5/18/2023 9:11:57,1368436335000000000,0,3964,11.04074,11.26,100,15.33333,0.1281971,19.4896,21.80156,2.311958
494,280720001,1685,5066,d27 h12 m50 s28,1,0,0,1366060715000000000,4/20/2023 21:18:17,1/1/0001 0:00:00,1/1/0001 0:00:00,5/18/2023 10:08:45,1368439743000000000,0,3960,11.2067,11.48,100,13.66667,0.1306416,35.94267,34.72483,-1.217842
15924,280720003,1685,5074,d27 h10 m40 s49,1,0,0,1366065112000000000,4/20/2023 22:31:34,1/1/0001 0:00:00,1/1/0001 0:00:00,5/18/2023 9:12:23,1368436361000000000,0,3952,11.18006,11.41,99.66666,4.333333,0.1447338,28.41046,42.77339,14.36293
8557,280720001,1685,5082,d27 h12 m27 s23,1,0,0,1366058747000000000,4/20/2023 20:45:29,1/1/0001 0:00:00,1/1/0001 0:00:00,5/18/2023 9:12:52,1368436390000000000,0,3964,10.59356,10.87,100,13.66667,0.1307177,26.06551,29.87474,3.809233
1252,280720001,1685,5090,d27 h11 m34 s09,1,0,0,1366061934000000000,4/20/2023 21:38:36,1/1/0001 0:00:00,1/1/0001 0:00:00,5/18/2023 9:12:45,1368436383000000000,3958,3960,18.15549,18.5,100,21.33333,0.1192698,23.45828,26.19612,2.737835
2281,280720001,1685,5098,d27 h11 m34 s31,1,0,0,1366061934000000000,4/20/2023 21:38:36,1/1/0001 0:00:00,1/1/0001 0:00:00,5/18/2023 9:13:07,1368436405000000000,0,3960,11.23283,11.47,100,9,0.1379676,26.22114,28.92263,2.70149
2598,280720001,1685,5106,d27 h11 m42 s57,1,0,0,1366060715000000000,4/20/2023 21:18:17,1/1/0001 0:00:00,1/1/0001 0:00:00,5/18/2023 9:01:14,1368435692000000000,0,3960,14.6349,14.92,100,9,0.1379382,26.88741,30.90747,4.020069
7643,280720001,1685,5114,d27 h11 m37 s03,1,0,0,1366061063000000000,4/20/2023 21:24:05,1/1/0001 0:00:00,1/1/0001 0:00:00,5/18/2023 9:01:08,1368435686000000000,0,3960,10.4751,10.71,100,22.66667,0.1172397,23.40357,25.23601,1.832436
7057,280720001,1685,5122,d27 h11 m43 s24,1,0,0,1366060715000000000,4/20/2023 21:18:17,1/1/0001 0:00:00,1/1/0001 0:00:00,5/18/2023 9:01:41,1368435719000000000,0,3960,9.548622,9.75,100,26,0.1121682,24.6419,27.81276,3.17086
