SerialNumber,PartNumber,ReceiverLine,ReceiverStation,AcquisitionDuration,SegmentCount,CSACLolCount,MinutesTillFirstCSACLol,StartPhaseMeasurementNS,AcqStartTimeDTUTC,FirstCSACLolDTUTC,LastCSACLolDTUTC,AcqEndTimeDTUTC,EndPhaseMeasurementNS,CSACAlarmCount,NumberOfLogRecords,AvgHeaterPower,MaxHeaterPower,BatteryChargeLevelInitial,BatteryChargeLevelFinal,BatteryDischargeRatePerHour,InitialHumidity,FinalHumidity,HumidityChange
486,280720001,1577,5002,d23 h12 m17 s11,1,0,0,1365777346000000000,4/17/2023 14:35:28,1/1/0001 0:00:00,1/1/0001 0:00:00,5/11/2023 2:52:39,1367808777000000000,0,3388,18.44165,18.76,100,20,0.141772,23.83768,26.55392,2.716234
2685,280720001,1577,5010,d23 h12 m17 s05,1,0,0,1365777346000000000,4/17/2023 14:35:28,1/1/0001 0:00:00,1/1/0001 0:00:00,5/11/2023 2:52:33,1367808771000000000,0,3388,12.81711,13.07,100,29.66667,0.1246416,23.37344,25.87697,2.503531
2826,280720001,1577,5018,d23 h12 m17 s25,1,0,0,1365777346000000000,4/17/2023 14:35:28,1/1/0001 0:00:00,1/1/0001 0:00:00,5/11/2023 2:52:53,1367808791000000000,0,3388,14.78438,15.07,100,50,0.08860688,29.8718,33.28933,3.41753
8226,280720001,1577,5026,d23 h12 m17 s34,1,0,0,1365777346000000000,4/17/2023 14:35:28,1/1/0001 0:00:00,1/1/0001 0:00:00,5/11/2023 2:53:02,1367808800000000000,0,3388,10.28251,10.51,100,38.66667,0.1086906,21.35649,24.49129,3.134808
3405,280720001,1577,5034,d23 h12 m26 s30,1,0,0,1365777346000000000,4/17/2023 14:35:28,1/1/0001 0:00:00,1/1/0001 0:00:00,5/11/2023 3:01:58,1367809336000000000,3386,3388,9.96617,10.2,100,41.33333,0.1039375,31.27269,35.12836,3.855669
1162,280720001,1577,5042,d23 h12 m18 s04,1,0,0,1365777346000000000,4/17/2023 14:35:28,1/1/0001 0:00:00,1/1/0001 0:00:00,5/11/2023 2:53:32,1367808830000000000,0,3388,13.29892,13.55,100,24.66667,0.1334985,25.37535,28.01353,2.638174
6672,280720001,1577,5050,d23 h12 m18 s25,1,0,0,1365777346000000000,4/17/2023 14:35:28,1/1/0001 0:00:00,1/1/0001 0:00:00,5/11/2023 2:53:53,1367808851000000000,0,3388,10.00323,10.22,99.66666,41.66667,0.1027809,31.71461,34.68997,2.975361
7649,280720001,1577,5058,d23 h12 m18 s41,1,0,0,1365777346000000000,4/17/2023 14:35:28,1/1/0001 0:00:00,1/1/0001 0:00:00,5/11/2023 2:54:09,1367808867000000000,0,3388,11.16556,11.39,99.66666,36.66667,0.1116405,22.35774,24.50705,2.149309
3383,280720001,1577,5066,d23 h12 m18 s56,1,0,0,1365777346000000000,4/17/2023 14:35:28,1/1/0001 0:00:00,1/1/0001 0:00:00,5/11/2023 2:54:24,1367808882000000000,0,3388,13.43286,13.68,100,25.33333,0.1323137,25.22585,27.28792,2.062075
1728,280720001,1577,5074,d23 h12 m19 s39,1,0,0,1365777346000000000,4/17/2023 14:35:28,1/1/0001 0:00:00,1/1/0001 0:00:00,5/11/2023 2:55:07,1367808925000000000,0,3388,11.7836,12.04,100,43.66667,0.09982383,27.15781,30.3138,3.155993
15434,280720003,1577,5082,d23 h12 m22 s26,1,0,0,1365777346000000000,4/17/2023 14:35:28,1/1/0001 0:00:00,1/1/0001 0:00:00,5/11/2023 2:57:54,1367809092000000000,0,3388,11.3129,11.53,100,44.66667,0.09804375,17.8173,19.71425,1.896955
6974,280720001,1577,5090,d23 h12 m20 s44,1,0,0,1365777346000000000,4/17/2023 14:35:28,1/1/0001 0:00:00,1/1/0001 0:00:00,5/11/2023 2:56:12,1367808990000000000,0,3388,11.86447,12.09,100,35.66667,0.1139963,21.87782,23.84325,1.965431
6538,280720001,1577,5098,d23 h12 m20 s57,1,0,0,1365777346000000000,4/17/2023 14:35:28,1/1/0001 0:00:00,1/1/0001 0:00:00,5/11/2023 2:56:25,1367809003000000000,0,3388,12.92411,13.16,100,50.33333,0.08800698,26.87502,29.2508,2.37578
