SerialNumber,PartNumber,ReceiverLine,ReceiverStation,AcquisitionDuration,SegmentCount,CSACLolCount,MinutesTillFirstCSACLol,StartPhaseMeasurementNS,AcqStartTimeDTUTC,FirstCSACLolDTUTC,LastCSACLolDTUTC,AcqEndTimeDTUTC,EndPhaseMeasurementNS,CSACAlarmCount,NumberOfLogRecords,AvgHeaterPower,MaxHeaterPower,BatteryChargeLevelInitial,BatteryChargeLevelFinal,BatteryDischargeRatePerHour,InitialHumidity,FinalHumidity,HumidityChange
7025,280720001,1757,5002,d27 h16 m28 s02,1,0,0,1366225582000000000,4/22/2023 19:06:04,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:34:06,1368617664000000000,0,3988,9.750709,9.98,100,23,0.1158823,27.75835,29.99307,2.234716
6692,280720001,1757,5010,d27 h16 m32 s29,1,0,0,1366225582000000000,4/22/2023 19:06:04,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:38:33,1368617931000000000,0,3988,10.23132,10.45,100,19.66667,0.1208854,25.17551,27.44809,2.272581
158,280720001,1757,5018,d27 h05 m10 s44,1,0,0,1366266517000000000,4/23/2023 6:28:19,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:39:03,1368617961000000000,0,3920,10.66992,10.91,100,17,0.1270709,18.3552,20.25858,1.903378
7945,280720001,1757,5026,d27 h16 m27 s43,1,0,0,1366225582000000000,4/22/2023 19:06:04,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:33:47,1368617645000000000,0,3988,10.5683,10.82,100,20.33333,0.1198965,22.81661,24.75294,1.936321
6815,280720001,1757,5034,d27 h16 m27 s34,1,1127,21.2833333333333,1366225581000000000,4/22/2023 19:06:03,4/22/2023 19:27:20,5/20/2023 11:04:09,5/20/2023 11:33:37,1368617635000000000,4,3988,11.29533,11.53,100,20,0.1203986,22.92216,24.95245,2.030283
3039,280720001,1757,5042,d27 h16 m27 s25,1,0,0,1366225581000000000,4/22/2023 19:06:03,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:33:28,1368617626000000000,0,3988,11.11809,11.36,100,10,0.1354489,26.03721,28.34991,2.312702
15836,280720003,1757,5050,d27 h16 m32 s42,1,0,0,1366225581000000000,4/22/2023 19:06:03,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:38:45,1368617943000000000,0,3988,9.687456,9.91,100,25,0.1128592,27.10936,30.72673,3.617371
1936,280720001,1757,5058,d27 h16 m33 s46,1,0,0,1366225581000000000,4/22/2023 19:06:03,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:39:49,1368618007000000000,0,3988,11.6134,11.87,100,15,0.1279036,23.99276,25.84277,1.850006
3426,280720001,1757,5066,d27 h16 m27 s00,1,0,0,1366225582000000000,4/22/2023 19:06:04,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:33:04,1368617602000000000,3987,3988,11.81148,12.08,100,19.33333,0.1214037,23.21044,25.31151,2.101074
704,280720001,1757,5074,d27 h16 m26 s50,1,0,0,1366225581000000000,4/22/2023 19:06:03,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:32:53,1368617591000000000,0,3988,11.36641,11.62,99.66666,14.33333,0.1284276,25.13528,27.44633,2.311045
7846,280720001,1757,5082,d27 h16 m31 s52,1,0,0,1366225582000000000,4/22/2023 19:06:04,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:37:56,1368617894000000000,0,3988,10.71976,10.96,100,18,0.1233953,24.49391,26.83523,2.341318
15879,280720003,1757,5090,d27 h05 m04 s22,1,0,0,1366266517000000000,4/23/2023 6:28:19,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:32:41,1368617579000000000,3919,3920,7.899924,8.07,100,43.33333,0.08676931,26.5494,29.73844,3.189035
8353,280720001,1757,5098,d27 h16 m26 s17,1,0,0,1366225582000000000,4/22/2023 19:06:04,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:32:21,1368617559000000000,3987,3988,9.946036,10.16,100,15.33333,0.127426,14.06577,15.9057,1.839923
15758,280720003,1757,5106,d27 h16 m33 s43,1,0,0,1366225581000000000,4/22/2023 19:06:03,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:39:46,1368618004000000000,3987,3988,10.16193,10.37,100,27.33333,0.1093452,21.94217,24.25724,2.315069
8265,280720001,1757,5114,d27 h16 m26 s02,1,0,0,1366225581000000000,4/22/2023 19:06:03,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:32:05,1368617543000000000,0,3988,13.07294,13.36,100,18.66667,0.12241,17.75216,19.84114,2.088976
7280,280720001,1757,5122,d27 h16 m47 s28,1,0,0,1366225581000000000,4/22/2023 19:06:03,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:53:31,1368618829000000000,0,3988,12.14214,12.42,100,22.33333,0.1168287,25.2423,36.39848,11.15618
607,280720001,1757,5130,d27 h17 m38 s43,1,0,0,1366225581000000000,4/22/2023 19:06:03,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 12:44:46,1368621904000000000,0,3988,9.464693,9.69,100,18.33333,0.122688,21.51933,23.37601,1.85668
3134,280720001,1757,5138,d27 h16 m31 s19,1,0,0,1366225582000000000,4/22/2023 19:06:04,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:37:23,1368617861000000000,0,3988,12.743,13.02,100,13.33333,0.1304196,27.20644,29.43071,2.224276
3291,280720001,1757,5146,d27 h16 m25 s09,1,0,0,1366225581000000000,4/22/2023 19:06:03,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:31:12,1368617490000000000,0,3988,11.8272,12.1,100,13.33333,0.1304397,26.47329,28.5914,2.118103
15847,280720003,1757,5154,d27 h16 m24 s59,1,0,0,1366225582000000000,4/22/2023 19:06:04,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:31:03,1368617481000000000,0,3988,13.42038,13.69,100,22.33333,0.1168946,28.01112,31.16944,3.158325
8286,280720001,1757,5162,d27 h16 m24 s50,1,0,0,1366225582000000000,4/22/2023 19:06:04,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:30:54,1368617472000000000,0,3988,14.29706,14.57,100,11,0.1339526,18.72799,20.47581,1.747822
235,280720001,1757,5170,d27 h16 m24 s41,1,0,0,1366225581000000000,4/22/2023 19:06:03,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:30:44,1368617462000000000,0,3988,11.37849,11.61,100,14.66667,0.1284345,22.49422,24.62388,2.129662
2528,280720001,1757,5178,d27 h16 m30 s10,1,0,0,1366225582000000000,4/22/2023 19:06:04,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:36:14,1368617792000000000,0,792,13.50734,13.95,100,67.66666,0.04865794,17.36549,17.98235,0.6168613
6559,280720001,1757,5186,d27 h16 m23 s49,1,0,0,1366225582000000000,4/22/2023 19:06:04,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:29:53,1368617411000000000,0,3988,11.43646,11.72,100,20.33333,0.1199082,25.77432,28.30392,2.529593
7574,280720001,1757,5194,d27 h16 m23 s40,1,0,0,1366225582000000000,4/22/2023 19:06:04,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:29:44,1368617402000000000,0,3988,10.47593,10.72,100,21.66667,0.1179018,21.87476,23.90684,2.032082
1611,280720001,1757,5202,d27 h16 m23 s28,1,0,0,1366225582000000000,4/22/2023 19:06:04,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:29:32,1368617390000000000,0,3988,11.49723,11.82,100,17.33333,0.1244247,22.14063,24.38111,2.240473
7885,280720001,1757,5210,d27 h16 m23 s19,1,0,0,1366225582000000000,4/22/2023 19:06:04,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:29:23,1368617381000000000,0,3988,12.13644,12.4,100,22.66667,0.1163977,25.98844,28.58194,2.5935
7640,280720001,1757,5218,d27 h16 m23 s05,1,0,0,1366225582000000000,4/22/2023 19:06:04,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:29:09,1368617367000000000,0,3988,9.789698,10.02,100,21.66667,0.1179036,24.06516,26.29505,2.229889
15009,280720003,1757,5226,d27 h05 m08 s25,2,1,-899.433333333333,1366266517000000000,4/23/2023 6:28:19,4/22/2023 15:28:53,4/22/2023 15:28:53,5/20/2023 11:36:44,1368617822000000000,0,3924,12.79217,13.05,100,27,0.1117677,20.72229,24.20363,3.481337
4020,280720001,1757,5234,d27 h16 m22 s45,1,0,0,1366225582000000000,4/22/2023 19:06:04,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:28:49,1368617347000000000,0,3988,10.76995,11.05,100,6.666667,0.140482,29.24876,32.39455,3.14579
3659,280720001,1757,5242,d27 h16 m53 s21,1,0,0,1366225582000000000,4/22/2023 19:06:04,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:59:25,1368619183000000000,0,3988,14.77807,15.1,95.33334,14.33333,0.1218248,26.0479,29.33072,3.282816
2047,280720001,1757,5250,d27 h16 m22 s24,1,0,0,1366225581000000000,4/22/2023 19:06:03,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:28:27,1368617325000000000,0,3988,11.65073,11.91,100,15.66667,0.1269367,24.35529,26.9501,2.594809
2971,280720001,1757,5258,d27 h16 m22 s14,1,0,0,1366225581000000000,4/22/2023 19:06:03,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:28:17,1368617315000000000,0,3988,10.11508,10.35,100,19,0.1219199,23.18468,24.64591,1.461229
7756,280720001,1757,5266,d27 h16 m22 s07,1,0,0,1366225581000000000,4/22/2023 19:06:03,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:28:10,1368617308000000000,0,3988,8.897548,9.14,100,22.66667,0.1164013,27.57938,29.26404,1.684652
7918,280720001,1757,5274,d27 h16 m21 s57,1,0,0,1366225582000000000,4/22/2023 19:06:04,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:28:01,1368617299000000000,0,3988,11.22296,11.5,100,19,0.1219208,20.32478,21.33305,1.008268
7565,280720001,1757,5282,d27 h16 m52 s15,1,0,0,1366225582000000000,4/22/2023 19:06:04,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:58:19,1368619117000000000,0,3988,10.94264,11.17,100,19,0.1218282,22.78222,23.82924,1.047016
1164,280720001,1757,5290,d27 h16 m21 s30,1,0,0,1366225582000000000,4/22/2023 19:06:04,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:27:34,1368617272000000000,0,3988,10.8751,11.15,100,16.33333,0.125936,29.25681,31.23056,1.973749
15116,280720003,1757,5298,d27 h16 m21 s21,1,0,0,1366225581000000000,4/22/2023 19:06:03,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:27:24,1368617262000000000,3986,3988,12.93993,13.21,100,21.66667,0.1179087,33.48463,36.22774,2.743107
716,280720001,1757,5306,d27 h16 m49 s40,1,0,0,1366225581000000000,4/22/2023 19:06:03,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:55:43,1368618961000000000,0,3992,15.81348,16.12,100,7.333333,0.1393845,25.77781,27.93955,2.161747
2629,280720001,1757,5314,d27 h05 m27 s17,1,0,0,1366266517000000000,4/23/2023 6:28:19,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:55:36,1368618954000000000,0,3924,11.41129,11.65,100,13.66667,0.1321183,25.46415,27.77144,2.307293
7848,280720001,1757,5322,d27 h16 m57 s48,1,0,0,1366225582000000000,4/22/2023 19:06:04,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 12:03:52,1368619450000000000,0,3992,11.41741,11.66,100,23.66667,0.1147933,22.28267,24.41891,2.13624
3253,280720001,1757,5330,d27 h16 m49 s48,1,0,0,1366225582000000000,4/22/2023 19:06:04,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:55:52,1368618970000000000,0,3992,14.86987,15.2,100,16.66667,0.1253453,25.19461,27.3645,2.169889
265,280720001,1757,5338,d27 h16 m50 s10,1,0,0,1366225581000000000,4/22/2023 19:06:03,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:56:13,1368618991000000000,0,3992,11.0958,11.34,100,36.33333,0.09576295,30.53713,33.88294,3.345812
3940,280720001,1757,5346,d27 h16 m50 s05,1,0,0,1366225581000000000,4/22/2023 19:06:03,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:56:08,1368618986000000000,0,3992,18.36229,18.75,100,10.33333,0.1348706,31.64966,34.96127,3.311613
8031,280720001,1757,5354,d27 h16 m50 s21,1,0,0,1366225582000000000,4/22/2023 19:06:04,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:56:25,1368619003000000000,0,3992,9.790928,10.03,100,25.33333,0.1123079,24.6743,26.9313,2.256996
3129,280720001,1757,5362,d27 h16 m50 s33,1,0,0,1366225581000000000,4/22/2023 19:06:03,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:56:36,1368619014000000000,0,3992,12.28119,12.5,100,17.33333,0.1243402,24.34471,26.5841,2.239393
4166,280720001,1757,5370,d27 h16 m50 s56,1,0,0,1366225582000000000,4/22/2023 19:06:04,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:57:00,1368619038000000000,0,3992,14.2187,14.52,100,6.333333,0.1408841,31.057,33.91322,2.856216
3525,280720001,1757,5378,d27 h16 m50 s49,1,0,0,1366225581000000000,4/22/2023 19:06:03,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:56:52,1368619030000000000,0,3992,13.84417,14.14,100,30,0.1052874,27.53066,30.8317,3.301044
710,280720001,1757,5386,d27 h16 m51 s29,1,0,0,1366225581000000000,4/22/2023 19:06:03,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:57:32,1368619070000000000,0,3992,11.47365,11.73,99.66666,7,0.1393781,27.48168,29.97886,2.497175
2886,280720001,1757,5394,d27 h16 m51 s14,1,0,0,1366225581000000000,4/22/2023 19:06:03,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:57:17,1368619055000000000,0,3992,11.25549,11.48,100,6.666667,0.1403817,26.289,29.09078,2.801775
777,280720001,1757,5402,d27 h05 m37 s09,1,0,0,1366266517000000000,4/23/2023 6:28:19,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 12:05:28,1368619546000000000,0,3924,10.67599,10.9,100,16.33333,0.1280052,24.96408,25.57956,0.6154766
7794,280720001,1757,5410,d27 h05 m29 s35,1,0,0,1366266517000000000,4/23/2023 6:28:19,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:57:54,1368619092000000000,0,3924,10.35679,10.56,100,19,0.1239493,20.18059,22.32591,2.145317
3703,280720001,1757,5418,d27 h05 m29 s28,1,0,0,1366266517000000000,4/23/2023 6:28:19,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:57:47,1368619085000000000,0,3924,11.31104,11.55,100,21.66667,0.119869,24.59351,27.11329,2.519772
1070,280720001,1757,5426,d27 h03 m38 s58,1,0,0,1366273173000000000,4/23/2023 8:19:15,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 11:58:13,1368619111000000000,0,36,17.98556,19.51,100,62,0.05831356,27.03241,29.34015,2.307743
6185,280720001,1757,5434,d27 h05 m50 s01,1,0,0,1366266517000000000,4/23/2023 6:28:19,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 12:18:20,1368620318000000000,0,3924,10.52428,10.77,100,16,0.1284731,28.36303,30.65521,2.292181
2560,280720001,1757,5442,d27 h05 m38 s02,1,0,0,1366266517000000000,4/23/2023 6:28:19,1/1/0001 0:00:00,1/1/0001 0:00:00,5/20/2023 12:06:21,1368619599000000000,0,3924,10.94275,11.15,100,9.333333,0.1387117,30.2176,34.74677,4.529161
